BusStation,117.300526109,34.2678604626,2811.1701229944697
BusStation,117.284501668,34.2639093885,2193.796035234504
BusStation,117.264232748,34.2554758628,3613.9520090614
BusStation,117.253896025,34.2546021142,3834.746036630979
BusStation,117.240344713,34.2534692612,2201.7216643699408
BusStation,117.228638727,34.2532212502,1377.2766464506603
BusStation,117.220489223,34.2634233567,1424.4715035435
BusStation,117.205222462,34.2675269732,1940.269616347911
BusStation,117.197572889,34.2675531255,2142.38663363153
BusStation,117.190748144,34.2665957291,2086.4107654231802
BusStation,117.181524507,34.264924526,2307.023315985523
BusStation,117.173089978,34.264775172,2878.2073132774235
BusStation,117.16257336,34.2645745474,3334.110637979913
BusStation,117.152119473,34.2630299137,2937.4205113940848
BusStation,117.144999249,34.2601305659,2196.3532634150797
BusStation,117.135884414,34.256681172,1759.3098683063515
BusStation,117.113735045,34.2498149005,2301.1239944693593
BusStation,117.095197404,34.2427033936,767.5117828784167
BusStation,117.095197404,34.2427033936,767.5117828784167
BusStation,117.113735045,34.2498149005,2301.1239944693593
BusStation,117.135884414,34.256681172,1759.3098683063515
BusStation,117.144999249,34.2601305659,2196.3532634150797
BusStation,117.152119473,34.2630299137,2937.4205113940848
BusStation,117.16257336,34.2645745474,3334.110637979913
BusStation,117.173089978,34.264775172,2878.2073132774235
BusStation,117.181524507,34.264924526,2307.023315985523
BusStation,117.190748144,34.2665957291,2086.4107654231802
BusStation,117.197572889,34.2675531255,2142.38663363153
BusStation,117.205222462,34.2675269732,1940.269616347911
BusStation,117.220489223,34.2634233567,1424.4715035435
BusStation,117.228638727,34.2532212502,1377.2766464506603
BusStation,117.240344713,34.2534692612,2201.7216643699408
BusStation,117.253896025,34.2546021142,3834.746036630979
BusStation,117.264232748,34.2554758628,3613.9520090614
BusStation,117.284501668,34.2639093885,2193.796035234504
BusStation,117.300526109,34.2678604626,2811.1701229944697
BusStation,117.199379306,34.2674868408,2131.739116398619
BusStation,117.191295125,34.2651052385,2040.9952512039195
BusStation,117.184283074,34.2650323637,2178.667427711955
BusStation,117.177726045,34.2648906746,2587.780006354357
BusStation,117.172456861,34.2647899876,2904.1835807166003
BusStation,117.166069549,34.2646740692,3178.4608386420987
BusStation,117.15986465,34.2645675367,3350.905649374073
BusStation,117.155195551,34.2643909589,3093.8921410164053
BusStation,117.147400996,34.2605185536,2407.5091604341064
BusStation,117.140768038,34.2585321454,1902.9814397067703
BusStation,117.137818958,34.2574558572,1762.9292780806381
BusStation,117.134335446,34.2561230585,1719.6508341393871
BusStation,117.13409916,34.2559587727,1783.662618784867
BusStation,117.138361702,34.2575556723,1779.2292812469932
BusStation,117.141776487,34.2588596677,1940.297361335618
BusStation,117.149213862,34.26113249,2611.6133662194006
BusStation,117.154970188,34.2641626387,3103.5770999879055
BusStation,117.159009161,34.2644479899,3293.9343190668205
BusStation,117.16591829,34.2645868207,3189.815182812844
BusStation,117.171680504,34.2646655908,2950.0268713051373
BusStation,117.176091233,34.2647237459,2662.092711042004
BusStation,117.18387041,34.2649016931,2190.866086711033
BusStation,117.191275105,34.265009245,2035.2219085788288
BusStation,117.198869646,34.2673781348,2162.2930956077716
BusStation,117.294884711,34.2085096403,5117.41921759616
BusStation,117.289874026,34.2085045692,4411.260046657212
BusStation,117.28119397,34.2085258585,2773.83393361873
BusStation,117.273846246,34.2085556072,1896.480868121052
BusStation,117.267502078,34.2089096754,1365.948927353472
BusStation,117.262747288,34.2102749399,1193.5946413529234
BusStation,117.255965525,34.212080247,1270.3476667544992
BusStation,117.248961965,34.2133530841,1951.876255076003
BusStation,117.235407539,34.2135091888,2359.9697692298023
BusStation,117.227077047,34.2164721987,1558.8090009432017
BusStation,117.22021497,34.2253138811,1216.3413070225777
BusStation,117.219076745,34.2303460146,1172.8720235279889
BusStation,117.219449369,34.2363250996,1104.6848816176816
BusStation,117.222909645,34.2428534712,1078.5527295113716
BusStation,117.228198713,34.2424751965,1068.6986561370895
BusStation,117.234280594,34.2423691074,1151.9526557424213
BusStation,117.238046999,34.2455459687,1530.376253542271
BusStation,117.238059443,34.2509478581,1808.1722235563084
BusStation,117.238067976,34.2554770645,2013.8028440274718
BusStation,117.246433277,34.2539201812,2860.3449531721367
BusStation,117.246524216,34.2540371256,2875.366851389902
BusStation,117.238002948,34.2558459031,2000.1520443764957
BusStation,117.237968474,34.2507789046,1788.9830744692608
BusStation,117.237951963,34.2460407554,1540.7551077541877
BusStation,117.236432516,34.2423787916,1239.4271264661877
BusStation,117.23045622,34.2424934128,1100.2596654179054
BusStation,117.223474932,34.2427059575,1073.970715934317
BusStation,117.220008973,34.2435708184,1122.4988874663957
BusStation,117.218998081,34.2363196979,1138.234698679087
BusStation,117.218577387,34.2306444499,1188.1897886670924
BusStation,117.220567368,34.223465861,1221.7342904414286
BusStation,117.226633925,34.2162290065,1544.5736220791102
BusStation,117.233085529,34.2133174185,2073.55372109846
BusStation,117.250796726,34.2132397028,1695.8332777725768
BusStation,117.25838119,34.2112633232,1191.6081420061228
BusStation,117.264870647,34.2094886421,1224.5444209739114
BusStation,117.269629993,34.2084079235,1506.1849085440842
BusStation,117.275995576,34.2083882733,2112.9094120613486
BusStation,117.282961517,34.2083885644,3167.891509958954
BusStation,117.292303634,34.2083578459,4756.345923556997
BusStation,117.452969516,34.4420362905,1116.48335170102
BusStation,117.452058435,34.4481683137,861.0531399582264
BusStation,117.445488809,34.4490273673,555.5745030493957
BusStation,117.44535885,34.4457361839,626.474361879218
BusStation,117.445350899,34.4450965712,640.0038118434221
